check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr,date
58.0,12.0,4.0,17.0,33.0,49.0,21.0,16.0,16.0,1362.7595620466354,7.0,239.9975921482178,58.0,91.0,24.0,3.0,815.3680168792765,17.0,78.0,21.0,6.0,1.0,1.0,23.3,1.8,63.0,2015-01-01
75.0,7.0,5.0,15.0,30.0,113.0,27.0,9.0,32.0,1186.465006848171,11.0,43.02416827949446,109.0,177.0,32.0,13.0,863.8153943462069,11.0,57.0,77.0,4.0,1.0,2.0,26.8,0.0,50.0,2015-01-02
79.0,7.0,3.0,7.0,30.0,107.0,36.0,12.0,18.0,1119.5047999576334,2.0,47.099414319864536,71.0,131.0,33.0,5.0,1024.8358604323257,14.0,174.0,40.0,5.0,1.0,3.0,31.1,17.0,41.0,2015-01-03
10.0,1.0,21.0,0.0,10.0,35.0,29.0,1.0,0.0,1290.4094387485054,0.0,242.42259980899235,6.0,11.0,6.0,1.0,823.1102960396229,1.0,20.0,6.0,0.0,1.0,4.0,20.8,0.4,69.0,2015-01-04
42.0,0.0,2.0,0.0,27.0,90.0,21.0,1.0,1.0,1100.340086373418,6.0,158.49174267739863,0.0,5.0,49.0,20.0,932.3143616612753,0.0,41.0,56.0,10.0,1.0,5.0,29.6,0.0,74.0,2015-01-05
101.0,0.0,1.0,1.0,62.0,153.0,38.0,3.0,22.0,1025.8254917626664,1.0,342.33713401736804,1.0,12.0,64.0,23.0,1056.792698894646,29.0,121.0,91.0,5.0,1.0,6.0,31.9,2.2,32.0,2015-01-06
121.0,15.0,5.0,3.0,38.0,144.0,35.0,1.0,43.0,1022.4618207488447,0.0,46.185990344749825,11.0,24.0,40.0,3.0,1158.654350064684,5.0,120.0,63.0,4.0,1.0,7.0,35.7,3.8,48.0,2015-01-07
70.0,0.0,36.0,0.0,39.0,139.0,36.0,4.0,55.0,1101.2120143730763,0.0,67.01909093391805,38.0,67.0,21.0,7.0,1080.8092050508787,1.0,83.0,78.0,2.0,1.0,8.0,35.5,2.2,50.0,2015-01-08
88.0,3.0,5.0,0.0,55.0,135.0,26.0,12.0,46.0,1146.778072564972,1.0,308.18675247364763,26.0,63.0,14.0,10.0,1078.846657236494,1.0,166.0,79.0,1.0,1.0,9.0,28.4,2.6,57.0,2015-01-09
29.0,7.0,6.0,0.0,24.0,70.0,17.0,3.0,20.0,1217.91163536956,0.0,216.53360979318632,15.0,29.0,0.0,7.0,925.8001699361791,0.0,32.0,41.0,1.0,1.0,10.0,29.2,0.4,50.0,2015-01-10
66.0,4.0,2.0,4.0,16.0,89.0,27.0,3.0,15.0,1092.771817014986,0.0,34.14871642818571,20.0,27.0,11.0,5.0,999.5682447994102,0.0,38.0,32.0,2.0,1.0,11.0,26.2,0.0,37.0,2015-01-11
183.0,4.0,4.0,16.0,86.0,323.0,62.0,7.0,62.0,566.2410385794317,0.0,57.68028033972814,17.0,99.0,63.0,22.0,1336.1312102364482,0.0,84.0,157.0,15.0,1.0,12.0,27.4,4.2,41.0,2015-01-12
183.0,2.0,9.0,17.0,75.0,250.0,41.0,9.0,77.0,800.8077746659837,7.0,45.76494075117216,10.0,115.0,15.0,26.0,1241.918335184024,0.0,72.0,137.0,20.0,1.0,13.0,38.1,0.0,31.0,2015-01-13
183.0,2.0,6.0,33.0,84.0,276.0,48.0,16.0,81.0,764.6997081194861,3.0,67.99878339072939,7.0,166.0,19.0,39.0,1234.319898969414,0.0,98.0,153.0,11.0,1.0,14.0,36.9,0.0,31.0,2015-01-14
183.0,1.0,7.0,32.0,86.0,297.0,52.0,17.0,59.0,772.6198102492722,0.0,55.426054896182904,9.0,198.0,28.0,25.0,1153.311198714491,0.0,62.0,189.0,8.0,1.0,15.0,30.8,0.8,35.0,2015-01-15
177.0,5.0,2.0,7.0,108.0,280.0,50.0,14.0,62.0,839.0586328058075,4.0,533.1761589108305,15.0,199.0,28.0,23.0,1096.913798683994,0.0,92.0,133.0,8.0,1.0,16.0,29.3,1.4,61.0,2015-01-16
48.0,2.0,0.0,0.0,46.0,75.0,22.0,3.0,10.0,1234.0318503326903,0.0,524.9489885544263,1.0,83.0,5.0,9.0,850.0552941870138,0.0,36.0,24.0,0.0,1.0,17.0,37.4,0.0,32.0,2015-01-17
84.0,1.0,4.0,2.0,52.0,108.0,34.0,6.0,17.0,1180.576167225086,1.0,363.7326640610113,2.0,127.0,22.0,16.0,857.61790782873,0.0,30.0,46.0,5.0,1.0,18.0,24.3,4.4,41.0,2015-01-18
256.0,1.0,1.0,14.0,130.0,321.0,65.0,6.0,55.0,783.9336278155472,0.0,381.9724863863753,15.0,245.0,86.0,37.0,1146.1668718359297,0.0,167.0,178.0,11.0,1.0,19.0,24.1,1.0,50.0,2015-01-19
262.0,3.0,6.0,20.0,134.0,302.0,47.0,21.0,58.0,814.4220480036097,3.0,335.28744273765824,76.0,243.0,70.0,32.0,1202.5857333480017,0.0,201.0,164.0,23.0,1.0,20.0,34.0,0.0,44.0,2015-01-20
242.0,2.0,4.0,36.0,154.0,328.0,41.0,13.0,70.0,811.4273060639111,4.0,471.27265410865857,117.0,280.0,64.0,32.0,1228.7558600369557,2.0,221.0,188.0,32.0,1.0,21.0,33.7,0.0,31.0,2015-01-21
278.0,17.0,5.0,52.0,185.0,382.0,52.0,35.0,63.0,731.6054194052945,3.0,516.5630113437078,137.0,313.0,103.0,49.0,1223.6970348895247,1.0,221.0,245.0,43.0,1.0,22.0,31.7,0.0,31.0,2015-01-22
307.0,8.0,7.0,45.0,196.0,355.0,50.0,22.0,62.0,856.6401164744238,2.0,714.1350732660617,135.0,332.0,123.0,56.0,1052.3592076626023,0.0,179.0,206.0,26.0,1.0,23.0,24.3,0.0,56.0,2015-01-23
163.0,1.0,5.0,14.0,104.0,170.0,33.0,6.0,14.0,1116.4610896148072,5.0,455.14869455015605,124.0,200.0,40.0,15.0,954.7313478254473,0.0,136.0,82.0,13.0,1.0,24.0,19.8,0.4,39.0,2015-01-24
81.0,0.0,1.0,6.0,61.0,95.0,17.0,7.0,11.0,1252.4610522862881,0.0,320.91213779338705,65.0,157.0,34.0,8.0,912.3154131542285,0.0,133.0,50.0,16.0,1.0,25.0,27.7,0.0,52.0,2015-01-25
234.0,3.0,6.0,36.0,157.0,340.0,32.0,24.0,50.0,710.1472704829787,2.0,379.33716358055017,116.0,310.0,108.0,47.0,1250.4154245899492,2.0,258.0,194.0,44.0,1.0,26.0,36.1,0.0,48.0,2015-01-26
276.0,1.0,2.0,51.0,165.0,320.0,57.0,20.0,64.0,868.6611728720932,1.0,373.69943985820055,135.0,276.0,99.0,46.0,1219.269473978241,3.0,263.0,205.0,43.0,1.0,27.0,30.9,1.2510294714798549,31.0,2015-01-27
335.0,0.0,12.0,51.0,178.0,384.0,60.0,16.0,45.0,647.9509261014687,0.0,377.96203623723477,118.0,338.0,106.0,49.0,1240.0734722780649,10.0,244.0,210.0,36.0,1.0,28.0,29.9,0.0,31.0,2015-01-28
327.0,10.0,38.0,65.0,207.0,437.0,66.0,19.0,48.0,601.4877029205734,3.0,586.9782910457247,156.0,386.0,139.0,48.0,1225.2736040735695,11.0,245.0,231.0,34.0,1.0,29.0,26.2,3.4,46.0,2015-01-29
181.0,1.0,3.0,9.0,132.0,294.0,57.0,15.0,47.0,832.9305936655815,1.0,472.91301973583404,99.0,233.0,98.0,23.0,1137.6128608413546,7.0,155.0,145.0,11.0,1.0,30.0,28.4,4.8,39.0,2015-01-30
65.0,3.0,0.0,2.0,35.0,95.0,20.0,8.0,5.0,1115.4227439297695,1.0,87.21154845956198,57.0,115.0,16.0,8.0,1036.4497530653064,3.0,141.0,38.0,3.0,1.0,31.0,36.8,0.0,41.0,2015-01-31
54.0,2.0,2.0,6.0,32.0,67.0,18.0,13.0,13.0,1253.104151638342,1.0,205.48393940752294,49.0,127.0,17.0,5.0,903.210884243056,6.0,124.0,27.0,3.0,2.0,1.0,35.2,0.0,35.0,2015-02-01
127.0,0.0,53.0,10.0,70.0,182.0,48.0,12.0,43.0,1053.0998630663587,0.0,229.83663139143437,57.0,144.0,39.0,4.0,1393.0761616464756,6.0,529.0,94.0,12.0,2.0,2.0,37.9,6.8,56.0,2015-02-02
203.0,0.0,45.0,26.0,93.0,273.0,63.0,10.0,46.0,799.6100221147565,0.0,118.71331377778961,65.0,190.0,33.0,16.0,1532.4253784166724,6.0,550.0,145.0,10.0,2.0,3.0,34.5,0.6,31.0,2015-02-03
263.0,1.0,18.0,12.0,88.0,288.0,57.0,14.0,60.0,790.2370071939113,1.0,37.6929843501016,88.0,231.0,33.0,9.0,1320.5261587572459,23.0,308.0,144.0,10.0,2.0,4.0,24.6,7.0,31.0,2015-02-04
236.0,0.0,85.0,4.0,138.0,280.0,44.0,12.0,32.0,905.9289001427423,3.0,433.68557356377505,140.0,293.0,62.0,33.0,1107.899749772048,19.0,246.0,162.0,13.0,2.0,5.0,32.7,0.2,32.0,2015-02-05
193.0,1.0,36.0,8.0,114.0,261.0,57.0,24.0,36.0,943.9642479069948,0.0,369.24355662419975,82.0,251.0,67.0,17.0,1214.0997618397198,15.0,358.0,157.0,15.0,2.0,6.0,35.1,2.4,31.0,2015-02-06
79.0,3.0,1.0,1.0,48.0,106.0,18.0,2.0,14.0,1149.439359745883,0.0,263.8786419942012,43.0,104.0,26.0,10.0,971.5354288806495,8.0,118.0,54.0,4.0,2.0,7.0,33.2,0.2,33.0,2015-02-07
36.0,3.0,0.0,0.0,10.0,57.0,11.0,2.0,5.0,1193.1519296590627,0.0,55.41567800846178,19.0,51.0,9.0,0.0,1130.4488678049192,2.0,299.0,24.0,1.0,2.0,8.0,34.2,8.6,65.0,2015-02-08
120.0,3.0,13.0,0.0,63.0,205.0,52.0,0.0,40.0,1012.3271414123542,0.0,53.69367408835433,52.0,174.0,54.0,4.0,1192.6431290422693,2.0,273.0,134.0,5.0,2.0,9.0,31.7,0.4,59.0,2015-02-09
